session_id,selected_rows,task,correct,updated_at
d7b5a782-d3cb-458d-8ae3-c9ae6522894c,main-line-1,duplicate,null,2025/12/04 01:04:37
d7b5a782-d3cb-458d-8ae3-c9ae6522894c,Book-classvar-0-line-1,duplicate,null,2025/12/04 01:04:37
d7b5a782-d3cb-458d-8ae3-c9ae6522894c,Member.__init__-line-1,duplicate,null,2025/12/04 01:04:37
d7b5a782-d3cb-458d-8ae3-c9ae6522894c,Library.__init__-line-1,duplicate,null,2025/12/04 01:04:37
d7b5a782-d3cb-458d-8ae3-c9ae6522894c,Library.add_book-line-1,duplicate,null,2025/12/04 01:04:37
a865a3f7-98ca-4d74-bd49-2beec18a8e8c,Book.__init__-line-1,duplicate,null,2025/12/04 01:26:25
e36608b0-5745-40bb-b779-78ceb5977245,Member.__init__-line-1,duplicate,null,2025/12/04 17:15:18
8ac73122-3d12-4cec-82ec-eb2f1da4406d,Book.__str__-line-0,return,null,2025/12/06 13:40:43
8ac73122-3d12-4cec-82ec-eb2f1da4406d,main-line-1,return,null,2025/12/06 13:40:43
8ac73122-3d12-4cec-82ec-eb2f1da4406d,main-line-5,return,null,2025/12/06 13:40:43
a340a64a-6f69-4f09-a92a-01cf9f0c8b7c,Book-classvar-0-line-1,return,null,2025/12/09 15:24:35
8f9c34d7-fe5f-4f5c-9851-51860c1bdd59,main-line-1,return,null,2025/12/12 16:51:30
ec9ceace-358b-4c87-b0eb-d3655a766f83,Book.__init__-line-1,return,null,2025/12/29 00:20:27
ec9ceace-358b-4c87-b0eb-d3655a766f83,Book.__init__-line-9,return,null,2025/12/29 00:20:27
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,Book.__init__-line-1,duplicate,true,2025/12/22 10:43:05
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,Book.__init__-line-2,duplicate,true,2025/12/22 10:43:05
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,Book.__init__-line-9,duplicate,true,2025/12/22 10:43:05
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,Book.__init__-line-10,duplicate,true,2025/12/22 10:43:05
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,Book.__init__-line-6,duplicate,true,2025/12/22 10:43:05
4813a711-2dc9-41db-9945-8b8d96addf05,Library.add_book-line-2,duplicate,true,2025/12/18 15:02:57
4813a711-2dc9-41db-9945-8b8d96addf05,Book-classvar-0-line-1,duplicate,true,2025/12/18 15:02:57
4813a711-2dc9-41db-9945-8b8d96addf05,Book.__init__-line-2,duplicate,true,2025/12/18 15:02:57
4813a711-2dc9-41db-9945-8b8d96addf05,Book.__init__-line-1,duplicate,true,2025/12/18 15:02:57
9eb03933-a8cc-4f0f-a071-346af4ce2d01,Book.__init__-line-2,duplicate,false,2025/12/18 11:19:53
9eb03933-a8cc-4f0f-a071-346af4ce2d01,Book.__del__-line-3,duplicate,false,2025/12/18 11:19:53
9eb03933-a8cc-4f0f-a071-346af4ce2d01,Book.__del__-line-2,duplicate,false,2025/12/18 11:19:53
e87a9bda-7533-4de0-be74-82f20f3de114,Library.return_book-line-7,duplicate,false,2025/12/16 11:04:34
e87a9bda-7533-4de0-be74-82f20f3de114,Library.borrow_book-line-7,duplicate,false,2025/12/16 11:04:34
e87a9bda-7533-4de0-be74-82f20f3de114,Library.add_member-line-4,duplicate,false,2025/12/16 11:04:34
e87a9bda-7533-4de0-be74-82f20f3de114,Library.add_book-line-2,duplicate,false,2025/12/16 11:04:34
e87a9bda-7533-4de0-be74-82f20f3de114,Book.__init__-line-2,duplicate,false,2025/12/16 11:04:34
e87a9bda-7533-4de0-be74-82f20f3de114,Book.__str__-line-1,duplicate,false,2025/12/16 11:04:34
0c9ba487-5f65-48a3-a4a4-2c4d9811faaf,Member._random_id-line-3,duplicate,true,2025/12/15 11:03:05
0c9ba487-5f65-48a3-a4a4-2c4d9811faaf,Library.add_book-line-2,duplicate,true,2025/12/15 11:03:05
0c9ba487-5f65-48a3-a4a4-2c4d9811faaf,Book.__init__-line-2,duplicate,true,2025/12/15 11:03:05
6ff3d032-dcaf-49ea-971c-1e2942572b61,Member.__str__-line-1,duplicate,true,2025/12/09 18:17:40
6ff3d032-dcaf-49ea-971c-1e2942572b61,Member._random_id-line-3,duplicate,true,2025/12/09 18:17:40
6ff3d032-dcaf-49ea-971c-1e2942572b61,Library.__init__-line-3,duplicate,true,2025/12/09 18:17:40
6ff3d032-dcaf-49ea-971c-1e2942572b61,Library.remove_book-line-4,duplicate,true,2025/12/09 18:17:40
6ff3d032-dcaf-49ea-971c-1e2942572b61,Library.remove_book-line-7,duplicate,true,2025/12/09 18:17:40
6ff3d032-dcaf-49ea-971c-1e2942572b61,Library.remove_book-line-10,duplicate,true,2025/12/09 18:17:40
6ff3d032-dcaf-49ea-971c-1e2942572b61,Library.add_member-line-3,duplicate,true,2025/12/09 18:17:40
6ff3d032-dcaf-49ea-971c-1e2942572b61,Library.borrow_book-line-15,duplicate,true,2025/12/09 18:17:40
6ff3d032-dcaf-49ea-971c-1e2942572b61,Library.return_book-line-14,duplicate,true,2025/12/09 18:17:40
6ff3d032-dcaf-49ea-971c-1e2942572b61,Book.__init__-line-9,duplicate,true,2025/12/09 18:17:40
6ff3d032-dcaf-49ea-971c-1e2942572b61,Book.__str__-line-1,duplicate,true,2025/12/09 18:17:40
6ff3d032-dcaf-49ea-971c-1e2942572b61,main-line-22,duplicate,true,2025/12/09 18:17:40
bde3507b-3728-44b7-b8f7-6166f7ff1c45,Book.__init__-line-3,duplicate,true,2025/12/04 14:00:25
bde3507b-3728-44b7-b8f7-6166f7ff1c45,Book.__init__-line-6,duplicate,true,2025/12/04 14:00:25
bde3507b-3728-44b7-b8f7-6166f7ff1c45,Book.__init__-line-10,duplicate,true,2025/12/04 14:00:25
bde3507b-3728-44b7-b8f7-6166f7ff1c45,Library.add_book-line-1,duplicate,true,2025/12/04 14:00:25
bde3507b-3728-44b7-b8f7-6166f7ff1c45,Library.add_book-line-2,duplicate,true,2025/12/04 14:00:25
3567dc0a-cc71-43c9-9847-ca805fe8f8dd,Library.borrow_book-line-15,return,null,2025/12/29 00:41:08
978a7f0f-7dbf-44c1-b69e-9cda7be9011e,Library.borrow_book-line-15,exceed,true,2025/12/18 13:07:23
af542900-d8bb-4dbb-abb9-bcac66c09818,Library.borrow_book-line-15,exceed,true,2025/12/09 16:25:48
df5c4117-7c69-426d-b3b9-b76f2738e039,Member._random_id-line-2,exceed,false,2025/12/09 18:33:20
df5c4117-7c69-426d-b3b9-b76f2738e039,Library.__init__-line-1,exceed,false,2025/12/09 18:33:20
df5c4117-7c69-426d-b3b9-b76f2738e039,Library.__init__-line-2,exceed,false,2025/12/09 18:33:20
df5c4117-7c69-426d-b3b9-b76f2738e039,Library.add_book-line-2,exceed,false,2025/12/09 18:33:20
df5c4117-7c69-426d-b3b9-b76f2738e039,Library.borrow_book-line-4,exceed,false,2025/12/09 18:33:20
2d306479-3cf0-4ebe-9e25-7e062739c5a4,Library.borrow_book-line-12,exceed,false,2025/12/15 16:42:45
6cab2260-984a-437d-a90b-42ea2b4b2548,Library.borrow_book-line-15,exceed,true,2025/12/16 16:30:12
6cab2260-984a-437d-a90b-42ea2b4b2548,Library.borrow_book-line-19,exceed,true,2025/12/16 16:30:12
6cab2260-984a-437d-a90b-42ea2b4b2548,Library.borrow_book-line-16,exceed,true,2025/12/16 16:30:12
6cab2260-984a-437d-a90b-42ea2b4b2548,Library.borrow_book-line-18,exceed,true,2025/12/16 16:30:12
8179d58a-dbc6-4b82-adfd-f08f26da7958,Member.__init__-line-3,exceed,false,2025/12/19 13:23:43
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,Library.borrow_book-line-13,exceed,true,2025/12/23 11:43:20
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,Library.borrow_book-line-15,exceed,true,2025/12/23 11:43:20
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,Library.borrow_book-line-16,exceed,true,2025/12/23 11:43:20
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,Library.borrow_book-line-18,exceed,true,2025/12/23 11:43:20
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,Library.borrow_book-line-19,exceed,true,2025/12/23 11:43:20
e0bb1d9d-32da-46b5-92cb-084590425dbe,Book.__init__-line-9,duplicate,true,2026/01/13 14:52:28
e0bb1d9d-32da-46b5-92cb-084590425dbe,Book.__init__-line-10,duplicate,true,2026/01/13 14:52:28
